ENCFF599VIR	endodermal-cell|H3K4me3|None
ENCFF756DXF	DOHH2|H3K36me3|None
ENCFF237OAY	H1-hESC|H4K5ac|None
ENCFF355IZE	esophagus-muscularis-mucosa|H3K4me3|None
ENCFF682JYE	SK-N-SH|H3K4me3|None
ENCFF073RWV	trophoblast-cell|H2BK12ac|None
ENCFF247ZMO	IMR-90|H3K27me3|None
ENCFF286UMF	neural-stem-progenitor-cell|H3K36me3|None
ENCFF048PKS	Loucy|H3K4me3|None
ENCFF707IBR	GM06990|H3K4me3|None
ENCFF511QOB	B-cell|H3K9ac|None
ENCFF767NIK	body-of-pancreas|H3K4me3|None
ENCFF808BIC	H1-hESC|H2BK120ac|None
ENCFF784QFH	MCF-7|H3K27ac|None
ENCFF262HSB	mesendoderm|H3K18ac|None
ENCFF133DLL	PC-3|H3K9me3|None
ENCFF851DNH	vagina|H3K4me3|None
ENCFF270RNZ	keratinocyte|H3K36me3|None
ENCFF261AED	osteoblast|H3K4me3|None
ENCFF827OXJ	skeletal-muscle-myoblast|H3K79me2|None
ENCFF116GSP	bronchial-epithelial-cell|H3K36me3|None
ENCFF656QDB	H9|H3K23me2|None
ENCFF691TUV	neural-progenitor-cell|H3K9ac|None
ENCFF097MRS	SK-N-MC|H3K27me3|None
ENCFF516GWH	adrenal-gland|H3K9me3|None
ENCFF917LDY	PC-3|H3K9ac|None
ENCFF361FSJ	H9|H3K79me1|None
ENCFF699MLO	KMS-11|H3K27ac|None
ENCFF026CMN	hepatocyte|H3K4me1|None
ENCFF718ILR	gastrocnemius-medialis|H3K27ac|None
ENCFF580XGS	A549|H3K4me1|ethanol
ENCFF498VPQ	A549|H3K27ac|ethanol
ENCFF034EAT	neutrophil|H3K4me3|None
ENCFF675YIB	KMS-11|H3K27me3|None
ENCFF134GKG	trophoblast-cell|H3K36me3|None
ENCFF604ZEP	mid-neurogenesis-radial-glial-cells|H3K27ac|None
ENCFF773MWG	OCI-LY1|H3K27ac|None
ENCFF592GIE	hepatocyte|H3K4me2|None
ENCFF367RHB	thyroid-gland|H3K27me3|None
ENCFF514BKI	MCF-7|H3K4me3|None
ENCFF381VIX	NT2/D1|H3K9ac|None
ENCFF477XWO	cardiac-muscle-cell|H3K4me1|None
ENCFF656PHI	Karpas-422|H3K4me3|None
ENCFF069KAG	GM12878|H3K9ac|None
ENCFF480IBO	neural-stem-progenitor-cell|H3K4me3|None
ENCFF415HCR	MM.1S|H2AFZ|None
ENCFF360FDX	SK-N-SH|H3K9me2|None
ENCFF069OCN	induced-pluripotent-stem-cell|H3K9me2|None
ENCFF552JEE	osteoblast|H3K36me3|None
ENCFF179TFZ	MCF-7|H3K9me2|None
ENCFF411AGB	mononuclear-cell|H3K27me3|None
ENCFF081VBD	neural-cell|H3K9me2|None
ENCFF053HKF	H1-hESC|H3K56ac|None
ENCFF393FNY	H9|H4K8ac|None
ENCFF522XUT	LNCaP-clone-FGC|H3K4me3|None
ENCFF353MWR	HepG2|H3K9me3|None
ENCFF426QFH	endothelial-cell-of-umbilical-vein|H3K27ac|None
ENCFF047SHC	choroid-plexus-epithelial-cell|H3K4me3|None
ENCFF218PAX	SK-N-SH|H3K9me3|None
ENCFF173PCX	neural-cell|H3K27ac|None
ENCFF864ZXP	HeLa-S3|H3K36me3|None
ENCFF570RHY	hepatocyte|H3K27me3|None
ENCFF402JFW	neural-cell|H2AFZ|None
ENCFF790UBM	SK-N-SH|H3K27ac|None
ENCFF197KIU	keratinocyte|H3K27me3|None
ENCFF464CMD	smooth-muscle-cell|H3K4me1|None
ENCFF758JGG	IMR-90|H3K9me1|None
ENCFF530UOO	HUES48|H3K4me3|None
ENCFF801NOS	neural-cell|H3K4me3|None
ENCFF901ZPG	fibroblast-of-upper-leg-skin|H3K4me3|None
ENCFF607UWR	epithelial-cell-of-esophagus|H3K4me3|None
ENCFF106EAN	IMR-90|H3K14ac|None
ENCFF685FGE	mid-neurogenesis-radial-glial-cells|H3K4me3|None
ENCFF036BNP	PC-3|H3K36me3|None
ENCFF133LOI	induced-pluripotent-stem-cell|H3K27ac|None
ENCFF374WLN	fibroblast-of-mammary-gland|H3K4me3|None
ENCFF102NFO	H9|H3K27ac|None
ENCFF043NHW	endodermal-cell|H3K4me1|None
ENCFF456NIF	H1-hESC|H3K4me3|None
ENCFF087LEM	trophoblast-cell|H2BK120ac|None
ENCFF904JVT	induced-pluripotent-stem-cell|H3K9me3|None
ENCFF304FHZ	neural-stem-progenitor-cell|H3K9me3|None
ENCFF096EZJ	SK-N-MC|H3K9me3|None
ENCFF076FYT	IMR-90|H4K8ac|None
ENCFF981HQG	bipolar-neuron|H3K9me3|None
ENCFF219LOO	osteoblast|H3K4me2|None
ENCFF807XGY	fibroblast-of-arm|H3K36me3|None
ENCFF094MJC	B-cell|H3K4me1|None
ENCFF360OJI	iPS-DF-19.11|H3K36me3|None
ENCFF351CAW	H9|H2BK12ac|None
ENCFF626WXW	OCI-LY1|H3K4me2|None
ENCFF960HNH	neutrophil|H3K27me3|None
ENCFF710TRX	fibroblast-of-the-aortic-adventitia|H3K4me3|None
ENCFF634SON	Karpas-422|H3K27me3|None
ENCFF175RLC	endodermal-cell|H3K9ac|None
ENCFF368KFE	astrocyte|H3K9ac|None
ENCFF008PVB	myotube|H3K9me3|None
ENCFF979ACW	A673|H3K27ac|None
ENCFF600HQS	PC-9|H3K4me2|None
ENCFF902IDL	HeLa-S3|H3K4me2|None
ENCFF922YSW	thoracic-aorta|H3K36me3|None
ENCFF184DUF	MCF-7|H4K20me1|None
ENCFF882KEB	SUDHL6|H3K36me3|None
ENCFF501MYI	neutrophil|H3K36me3|None
ENCFF740XLV	OCI-LY3|H3K4me1|None
ENCFF982ILN	OCI-LY7|H3K36me3|None
ENCFF397EFT	H1-hESC|H3K18ac|None
ENCFF823NUO	IMR-90|H3K4ac|None
ENCFF275GFG	IMR-90|H3K18ac|None
ENCFF029GQD	HCT116|H3K36me3|None
ENCFF399HUL	CD14-positive-monocyte|H3K36me3|None
ENCFF301UTR	HEK293|H3K4me1|None
ENCFF836FEK	bipolar-neuron|H3K4me2|None
ENCFF811QRH	myotube|H3K27me3|None
ENCFF292JKC	body-of-pancreas|H3K27ac|None
ENCFF724DGK	mid-neurogenesis-radial-glial-cells|H3K27me3|None
ENCFF565IYC	IMR-90|H2AFZ|None
ENCFF114MUN	trophoblast-cell|H3K4me2|None
ENCFF806AYM	HCT116|H3K27me3|None
ENCFF854NHF	neural-stem-progenitor-cell|H3K4me1|None
ENCFF856SEW	NT2/D1|H3K36me3|None
ENCFF633VGW	smooth-muscle-cell|H3K27me3|None
ENCFF711DZK	gastroesophageal-sphincter|H3K4me1|None
ENCFF047EDM	Karpas-422|H3K79me2|None
ENCFF020ZET	large-intestine|H3K27me3|None
ENCFF276VWQ	fibroblast-of-arm|H3K27ac|None
ENCFF420SSW	neural-progenitor-cell|H4K20me1|None
ENCFF742HIQ	A673|H3K4me1|None
ENCFF636MAR	A549|H3K79me2|ethanol
ENCFF031FSF	K562|H3K27me3|None
ENCFF211HZG	fibroblast-of-arm|H3K4me3|None
ENCFF719LDJ	neural-progenitor-cell|H3K9me3|None
ENCFF015CLB	bipolar-neuron|H3K4me1|None
ENCFF373PCP	Loucy|H2AFZ|None
ENCFF739VAP	A549|H3K27ac|dexamethasone
ENCFF041EXV	HUES64|H3K36me3|None
ENCFF776EQU	mammary-epithelial-cell|H3K27me3|None
ENCFF140SFK	MCF-7|H3K27me3|None
ENCFF459PFF	OCI-LY7|H3K27ac|None
ENCFF292MNK	Loucy|H3K36me3|None
ENCFF649KWH	H9|H3K4ac|None
ENCFF749RHX	iPS-DF-19.11|H3K27ac|None
ENCFF859RDZ	IMR-90|H3K79me1|None
ENCFF212PQN	K562|H3K79me2|None
ENCFF045EPF	OCI-LY1|H3K27me3|None
ENCFF920FLS	fibroblast-of-dermis|H3K27ac|None
ENCFF040OYX	keratinocyte|H3K4me3|None
ENCFF154XZE	Loucy|H3K4me2|None
ENCFF910ZUQ	mammary-epithelial-cell|H3K79me2|None
ENCFF317SCS	hepatocyte|H3K36me3|None
ENCFF628KOM	H1-hESC|H2BK20ac|None
ENCFF052HQG	B-cell|H2AFZ|None
ENCFF306MNO	K562|H3K9ac|None
ENCFF245TXP	SUDHL6|H3K27ac|None
ENCFF985YQH	adrenal-gland|H3K27ac|None
ENCFF463LZP	DOHH2|H4K20me1|None
ENCFF590XUH	GM08714|H3K4me3|None
ENCFF267HLH	H9|H2BK5ac|None
ENCFF057UZR	bipolar-neuron|H2AFZ|None
ENCFF925HDQ	H9|H3K36me3|None
ENCFF706VAQ	OCI-LY3|H3K27ac|None
ENCFF129OMN	OCI-LY3|H3K36me3|None
ENCFF002NFJ	smooth-muscle-cell|H3K27ac|None
ENCFF901CSA	endodermal-cell|H3K27me3|None
ENCFF591BUX	osteoblast|H3K4me1|None
ENCFF429ROU	Karpas-422|H4K20me1|None
ENCFF450JBC	fibroblast-of-dermis|H3K27me3|None
ENCFF512VHW	GM12878|H2AFZ|None
ENCFF752BON	A549|H3K9me3|ethanol
ENCFF541BFB	HeLa-S3|H3K79me2|None
ENCFF953FYF	Loucy|H3K9me2|None
ENCFF892LMZ	KMS-11|H3K9ac|None
ENCFF434DYI	MCF-7|H2AFZ|None
ENCFF022UYA	22Rv1|H3K27ac|17β-hydroxy-5α-androstan-3-one
ENCFF547WSF	mammary-epithelial-cell|H3K27ac|None
ENCFF035PQG	GM12878|H3K27me3|None
ENCFF022RPE	SUDHL6|H4K20me1|None
ENCFF833WFV	trophoblast-cell|H3K27me3|None
ENCFF700AHK	OCI-LY1|H3K9ac|None
ENCFF080LBO	PC-3|H3K4me1|None
ENCFF604OVF	Karpas-422|H3K4me2|None
ENCFF764XCI	OCI-LY1|H3K36me3|None
ENCFF953YEE	NCI-H929|H3K36me3|None
ENCFF711LQB	H1-hESC|H3K4ac|None
ENCFF397SDI	keratinocyte|H3K27ac|None
ENCFF682RJQ	CD14-positive-monocyte|H3K9me3|None
ENCFF255FSI	smooth-muscle-cell|H3K9me3|None
ENCFF375FQE	astrocyte|H3K4me3|None
ENCFF894XPE	A549|H3K9ac|ethanol
ENCFF636VXP	right-lobe-of-liver|H3K4me3|None
ENCFF498MXO	SK-N-SH|H3K36me3|all-trans-retinoic-acid
ENCFF903NDX	OCI-LY7|H3K9me3|None
ENCFF646LMY	OCI-LY1|H3K4me1|None
ENCFF116OPY	skeletal-muscle-myoblast|H3K4me3|None
ENCFF881EYG	thymus|H3K27me3|None
ENCFF964FVB	H1-hESC|H4K91ac|None
ENCFF117YEJ	OCI-LY3|H4K20me1|None
ENCFF659VMT	coronary-artery|H3K4me3|None
ENCFF023EKM	cardiac-fibroblast|H3K4me3|None
ENCFF939FZE	IMR-90|H4K5ac|None
ENCFF013LPW	A549|H3K4me3|dexamethasone
ENCFF320AZI	IMR-90|H3K4me2|None
ENCFF882OAX	myotube|H3K9ac|None
ENCFF710IOM	IMR-90|H2AK9ac|None
ENCFF025BCV	DND-41|H3K27me3|None
ENCFF118PIE	K562|H3K4me2|None
ENCFF283ZXY	Loucy|H3K9ac|None
ENCFF160CEI	H1-hESC|H2AK5ac|None
ENCFF806CLV	MM.1S|H3K9me2|None
ENCFF270VJY	IMR-90|H4K20me1|None
ENCFF712OJP	ACC112|H3K4me3|None
ENCFF329ARL	smooth-muscle-cell|H3K4me2|None
ENCFF651DIX	DOHH2|H3K27ac|None
ENCFF405XOM	iPS-20b|H3K36me3|None
ENCFF470XWC	NCI-H929|H3K79me2|None
ENCFF588AEO	C4-2B|H3K27ac|None
ENCFF162HPV	H1-hESC|H3K27ac|None
ENCFF289XTV	thoracic-aorta|H3K27ac|None
ENCFF895YSF	H9|H3K27me3|None
ENCFF902YJU	hepatocyte|H3K4me3|None
ENCFF166CUG	DND-41|H3K9ac|None
ENCFF164KKC	MM.1S|H3K36me3|None
ENCFF027GUS	OCI-LY7|H3K4me1|None
ENCFF829STQ	fibroblast-of-dermis|H3K79me2|None
ENCFF358CJW	HepG2|H3K9ac|None
ENCFF778IJT	IMR-90|H2BK5ac|None
ENCFF659WTM	neural-progenitor-cell|H2AFZ|None
ENCFF311UUU	PC-3|H2AFZ|None
