#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF153EBS	testis	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF153EBS/@@download/ENCFF153EBS.bed.gz
ENCFF266LMD	right lobe of liver	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF266LMD/@@download/ENCFF266LMD.bed.gz
ENCFF859VHY	sigmoid colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF859VHY/@@download/ENCFF859VHY.bed.gz
ENCFF679PHA	sigmoid colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF679PHA/@@download/ENCFF679PHA.bed.gz
ENCFF933GHC	Peyer's patch	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF933GHC/@@download/ENCFF933GHC.bed.gz
ENCFF755ZCX	esophagus squamous epithelium	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF755ZCX/@@download/ENCFF755ZCX.bed.gz
ENCFF620AXB	prostate gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF620AXB/@@download/ENCFF620AXB.bed.gz
ENCFF610AMI	coronary artery	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF610AMI/@@download/ENCFF610AMI.bed.gz
ENCFF569ISV	body of pancreas	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF569ISV/@@download/ENCFF569ISV.bed.gz
ENCFF320CVX	body of pancreas	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF320CVX/@@download/ENCFF320CVX.bed.gz
ENCFF184FLY	sigmoid colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF184FLY/@@download/ENCFF184FLY.bed.gz
ENCFF628TQQ	tibial nerve	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF628TQQ/@@download/ENCFF628TQQ.bed.gz
ENCFF554DVK	transverse colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF554DVK/@@download/ENCFF554DVK.bed.gz
ENCFF039LNM	gastrocnemius medialis	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF039LNM/@@download/ENCFF039LNM.bed.gz
ENCFF539GRT	stomach	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF539GRT/@@download/ENCFF539GRT.bed.gz
ENCFF246WVH	thyroid gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF246WVH/@@download/ENCFF246WVH.bed.gz
ENCFF216NIG	tibial artery	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF216NIG/@@download/ENCFF216NIG.bed.gz
ENCFF269JUI	body of pancreas	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF269JUI/@@download/ENCFF269JUI.bed.gz
ENCFF807DIF	transverse colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF807DIF/@@download/ENCFF807DIF.bed.gz
ENCFF730TBY	heart left ventricle	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF730TBY/@@download/ENCFF730TBY.bed.gz
ENCFF193VKI	subcutaneous adipose tissue	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF193VKI/@@download/ENCFF193VKI.bed.gz
ENCFF701IBX	thoracic aorta	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF701IBX/@@download/ENCFF701IBX.bed.gz
ENCFF789UMZ	omental fat pad	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF789UMZ/@@download/ENCFF789UMZ.bed.gz
ENCFF496TCM	right atrium auricular region	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF496TCM/@@download/ENCFF496TCM.bed.gz
ENCFF757JLU	esophagus muscularis mucosa	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF757JLU/@@download/ENCFF757JLU.bed.gz
ENCFF538CCD	adrenal gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF538CCD/@@download/ENCFF538CCD.bed.gz
ENCFF975XAY	gastroesophageal sphincter	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF975XAY/@@download/ENCFF975XAY.bed.gz
ENCFF762CEX	thyroid gland	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF762CEX/@@download/ENCFF762CEX.bed.gz
ENCFF227RKB	transverse colon	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF227RKB/@@download/ENCFF227RKB.bed.gz
ENCFF446UOB	body of pancreas	ATAC-seq	None	https://www.encodeproject.org/files/ENCFF446UOB/@@download/ENCFF446UOB.bed.gz
ENCFF833JFM	foreskin keratinocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF833JFM/@@download/ENCFF833JFM.bed.gz
ENCFF945HWH	foreskin keratinocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF945HWH/@@download/ENCFF945HWH.bed.gz
ENCFF066IBF	IMR-90	DNase-seq	None	https://www.encodeproject.org/files/ENCFF066IBF/@@download/ENCFF066IBF.bed.gz
ENCFF989MSO	IMR-90	DNase-seq	None	https://www.encodeproject.org/files/ENCFF989MSO/@@download/ENCFF989MSO.bed.gz
ENCFF359JHX	IMR-90	DNase-seq	None	https://www.encodeproject.org/files/ENCFF359JHX/@@download/ENCFF359JHX.bed.gz
ENCFF228WBP	IMR-90	DNase-seq	None	https://www.encodeproject.org/files/ENCFF228WBP/@@download/ENCFF228WBP.bed.gz
ENCFF371GGV	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF371GGV/@@download/ENCFF371GGV.bed.gz
ENCFF995DGS	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF995DGS/@@download/ENCFF995DGS.bed.gz
ENCFF270OXY	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF270OXY/@@download/ENCFF270OXY.bed.gz
ENCFF478XDH	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF478XDH/@@download/ENCFF478XDH.bed.gz
ENCFF517DTZ	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF517DTZ/@@download/ENCFF517DTZ.bed.gz
ENCFF529IQV	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF529IQV/@@download/ENCFF529IQV.bed.gz
ENCFF370OYQ	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF370OYQ/@@download/ENCFF370OYQ.bed.gz
ENCFF684MAZ	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF684MAZ/@@download/ENCFF684MAZ.bed.gz
ENCFF734PPZ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF734PPZ/@@download/ENCFF734PPZ.bed.gz
ENCFF924FPB	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF924FPB/@@download/ENCFF924FPB.bed.gz
ENCFF638UOX	iPS DF 6.9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF638UOX/@@download/ENCFF638UOX.bed.gz
ENCFF474QSW	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF474QSW/@@download/ENCFF474QSW.bed.gz
ENCFF971VCD	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF971VCD/@@download/ENCFF971VCD.bed.gz
ENCFF385RNI	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF385RNI/@@download/ENCFF385RNI.bed.gz
ENCFF058TRU	foreskin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF058TRU/@@download/ENCFF058TRU.bed.gz
ENCFF809SXS	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF809SXS/@@download/ENCFF809SXS.bed.gz
ENCFF371RXZ	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF371RXZ/@@download/ENCFF371RXZ.bed.gz
ENCFF719SHZ	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF719SHZ/@@download/ENCFF719SHZ.bed.gz
ENCFF249GZW	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF249GZW/@@download/ENCFF249GZW.bed.gz
ENCFF559VIU	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF559VIU/@@download/ENCFF559VIU.bed.gz
ENCFF971VBF	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF971VBF/@@download/ENCFF971VBF.bed.gz
ENCFF438GJD	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF438GJD/@@download/ENCFF438GJD.bed.gz
ENCFF858JQG	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF858JQG/@@download/ENCFF858JQG.bed.gz
ENCFF687GYG	natural killer cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF687GYG/@@download/ENCFF687GYG.bed.gz
ENCFF173JRC	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF173JRC/@@download/ENCFF173JRC.bed.gz
ENCFF077UJK	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF077UJK/@@download/ENCFF077UJK.bed.gz
ENCFF786QZY	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF786QZY/@@download/ENCFF786QZY.bed.gz
ENCFF180AQM	testis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF180AQM/@@download/ENCFF180AQM.bed.gz
ENCFF265KNN	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF265KNN/@@download/ENCFF265KNN.bed.gz
ENCFF267EBS	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF267EBS/@@download/ENCFF267EBS.bed.gz
ENCFF995OBT	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF995OBT/@@download/ENCFF995OBT.bed.gz
ENCFF510AYV	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF510AYV/@@download/ENCFF510AYV.bed.gz
ENCFF544CVM	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF544CVM/@@download/ENCFF544CVM.bed.gz
ENCFF391CGC	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF391CGC/@@download/ENCFF391CGC.bed.gz
ENCFF494CSI	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF494CSI/@@download/ENCFF494CSI.bed.gz
ENCFF400IOO	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF400IOO/@@download/ENCFF400IOO.bed.gz
ENCFF820TAI	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF820TAI/@@download/ENCFF820TAI.bed.gz
ENCFF846UED	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF846UED/@@download/ENCFF846UED.bed.gz
ENCFF908BGP	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF908BGP/@@download/ENCFF908BGP.bed.gz
ENCFF968IOH	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF968IOH/@@download/ENCFF968IOH.bed.gz
ENCFF437AEG	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF437AEG/@@download/ENCFF437AEG.bed.gz
ENCFF770SAC	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF770SAC/@@download/ENCFF770SAC.bed.gz
ENCFF256KNP	neural stem progenitor cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF256KNP/@@download/ENCFF256KNP.bed.gz
ENCFF271KSL	neural stem progenitor cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF271KSL/@@download/ENCFF271KSL.bed.gz
ENCFF118DRT	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF118DRT/@@download/ENCFF118DRT.bed.gz
ENCFF360KYS	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF360KYS/@@download/ENCFF360KYS.bed.gz
ENCFF049XKN	foreskin melanocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF049XKN/@@download/ENCFF049XKN.bed.gz
ENCFF842IEY	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF842IEY/@@download/ENCFF842IEY.bed.gz
ENCFF924NKC	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF924NKC/@@download/ENCFF924NKC.bed.gz
ENCFF104VLJ	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF104VLJ/@@download/ENCFF104VLJ.bed.gz
ENCFF164IJW	pancreas	DNase-seq	None	https://www.encodeproject.org/files/ENCFF164IJW/@@download/ENCFF164IJW.bed.gz
ENCFF525ZZG	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF525ZZG/@@download/ENCFF525ZZG.bed.gz
ENCFF648KWJ	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF648KWJ/@@download/ENCFF648KWJ.bed.gz
ENCFF356XPV	iPS DF 19.7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF356XPV/@@download/ENCFF356XPV.bed.gz
ENCFF881OJT	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF881OJT/@@download/ENCFF881OJT.bed.gz
ENCFF574LKL	H1-hESC	DNase-seq	None	https://www.encodeproject.org/files/ENCFF574LKL/@@download/ENCFF574LKL.bed.gz
ENCFF725WHX	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF725WHX/@@download/ENCFF725WHX.bed.gz
ENCFF024LKC	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF024LKC/@@download/ENCFF024LKC.bed.gz
ENCFF173WZS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF173WZS/@@download/ENCFF173WZS.bed.gz
ENCFF881BUS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF881BUS/@@download/ENCFF881BUS.bed.gz
ENCFF577ZMC	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF577ZMC/@@download/ENCFF577ZMC.bed.gz
ENCFF384RMC	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF384RMC/@@download/ENCFF384RMC.bed.gz
ENCFF867HJE	trophoblast cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF867HJE/@@download/ENCFF867HJE.bed.gz
ENCFF863CNC	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF863CNC/@@download/ENCFF863CNC.bed.gz
ENCFF438XUQ	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF438XUQ/@@download/ENCFF438XUQ.bed.gz
ENCFF585AJG	iPS DF 19.11	DNase-seq	None	https://www.encodeproject.org/files/ENCFF585AJG/@@download/ENCFF585AJG.bed.gz
ENCFF419TZO	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF419TZO/@@download/ENCFF419TZO.bed.gz
ENCFF857PAY	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF857PAY/@@download/ENCFF857PAY.bed.gz
ENCFF762SWA	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF762SWA/@@download/ENCFF762SWA.bed.gz
ENCFF683CID	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF683CID/@@download/ENCFF683CID.bed.gz
ENCFF143QFM	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF143QFM/@@download/ENCFF143QFM.bed.gz
ENCFF179NOL	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF179NOL/@@download/ENCFF179NOL.bed.gz
ENCFF677LCJ	muscle of trunk	DNase-seq	None	https://www.encodeproject.org/files/ENCFF677LCJ/@@download/ENCFF677LCJ.bed.gz
ENCFF132DVF	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF132DVF/@@download/ENCFF132DVF.bed.gz
ENCFF532RQO	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF532RQO/@@download/ENCFF532RQO.bed.gz
ENCFF137UKU	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF137UKU/@@download/ENCFF137UKU.bed.gz
ENCFF901XEJ	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF901XEJ/@@download/ENCFF901XEJ.bed.gz
ENCFF172HGE	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF172HGE/@@download/ENCFF172HGE.bed.gz
ENCFF285FXR	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF285FXR/@@download/ENCFF285FXR.bed.gz
ENCFF434IPQ	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF434IPQ/@@download/ENCFF434IPQ.bed.gz
ENCFF978III	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF978III/@@download/ENCFF978III.bed.gz
ENCFF483JXP	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF483JXP/@@download/ENCFF483JXP.bed.gz
ENCFF050NEM	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF050NEM/@@download/ENCFF050NEM.bed.gz
ENCFF429OVG	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF429OVG/@@download/ENCFF429OVG.bed.gz
ENCFF851CRN	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF851CRN/@@download/ENCFF851CRN.bed.gz
ENCFF738JDE	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF738JDE/@@download/ENCFF738JDE.bed.gz
ENCFF279CHX	ovary	DNase-seq	None	https://www.encodeproject.org/files/ENCFF279CHX/@@download/ENCFF279CHX.bed.gz
ENCFF602DIZ	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF602DIZ/@@download/ENCFF602DIZ.bed.gz
ENCFF155DZV	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF155DZV/@@download/ENCFF155DZV.bed.gz
ENCFF357RAP	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF357RAP/@@download/ENCFF357RAP.bed.gz
ENCFF610OWH	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF610OWH/@@download/ENCFF610OWH.bed.gz
ENCFF488ZLH	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF488ZLH/@@download/ENCFF488ZLH.bed.gz
ENCFF213TVS	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF213TVS/@@download/ENCFF213TVS.bed.gz
ENCFF611KWJ	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF611KWJ/@@download/ENCFF611KWJ.bed.gz
ENCFF828HED	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF828HED/@@download/ENCFF828HED.bed.gz
ENCFF786GMY	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF786GMY/@@download/ENCFF786GMY.bed.gz
ENCFF198ALI	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF198ALI/@@download/ENCFF198ALI.bed.gz
ENCFF209MOG	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF209MOG/@@download/ENCFF209MOG.bed.gz
ENCFF930MUK	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF930MUK/@@download/ENCFF930MUK.bed.gz
ENCFF802GPU	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF802GPU/@@download/ENCFF802GPU.bed.gz
ENCFF803IZB	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF803IZB/@@download/ENCFF803IZB.bed.gz
ENCFF645FNZ	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF645FNZ/@@download/ENCFF645FNZ.bed.gz
ENCFF014YBK	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF014YBK/@@download/ENCFF014YBK.bed.gz
ENCFF628TOP	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF628TOP/@@download/ENCFF628TOP.bed.gz
ENCFF203IXI	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF203IXI/@@download/ENCFF203IXI.bed.gz
ENCFF180AEX	spleen	DNase-seq	None	https://www.encodeproject.org/files/ENCFF180AEX/@@download/ENCFF180AEX.bed.gz
ENCFF066LTB	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF066LTB/@@download/ENCFF066LTB.bed.gz
ENCFF706OKJ	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF706OKJ/@@download/ENCFF706OKJ.bed.gz
ENCFF120DNW	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF120DNW/@@download/ENCFF120DNW.bed.gz
ENCFF103ZMI	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF103ZMI/@@download/ENCFF103ZMI.bed.gz
ENCFF742WRC	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF742WRC/@@download/ENCFF742WRC.bed.gz
ENCFF140VUL	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF140VUL/@@download/ENCFF140VUL.bed.gz
ENCFF574WIN	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF574WIN/@@download/ENCFF574WIN.bed.gz
ENCFF736PAW	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF736PAW/@@download/ENCFF736PAW.bed.gz
ENCFF816CNZ	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF816CNZ/@@download/ENCFF816CNZ.bed.gz
ENCFF433PDK	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF433PDK/@@download/ENCFF433PDK.bed.gz
ENCFF716KMR	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF716KMR/@@download/ENCFF716KMR.bed.gz
ENCFF106PMZ	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF106PMZ/@@download/ENCFF106PMZ.bed.gz
ENCFF410MHQ	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF410MHQ/@@download/ENCFF410MHQ.bed.gz
ENCFF522CKK	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF522CKK/@@download/ENCFF522CKK.bed.gz
ENCFF355LDD	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF355LDD/@@download/ENCFF355LDD.bed.gz
ENCFF682LFV	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF682LFV/@@download/ENCFF682LFV.bed.gz
ENCFF906KRB	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF906KRB/@@download/ENCFF906KRB.bed.gz
ENCFF808FRN	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF808FRN/@@download/ENCFF808FRN.bed.gz
ENCFF064KOE	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF064KOE/@@download/ENCFF064KOE.bed.gz
ENCFF425HGL	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF425HGL/@@download/ENCFF425HGL.bed.gz
ENCFF944HYF	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF944HYF/@@download/ENCFF944HYF.bed.gz
ENCFF144ERX	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF144ERX/@@download/ENCFF144ERX.bed.gz
ENCFF794UBO	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF794UBO/@@download/ENCFF794UBO.bed.gz
ENCFF910QCI	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF910QCI/@@download/ENCFF910QCI.bed.gz
ENCFF144HBQ	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF144HBQ/@@download/ENCFF144HBQ.bed.gz
ENCFF832UZR	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF832UZR/@@download/ENCFF832UZR.bed.gz
ENCFF804DUL	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF804DUL/@@download/ENCFF804DUL.bed.gz
ENCFF096EVU	iPS DF 4.7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF096EVU/@@download/ENCFF096EVU.bed.gz
ENCFF064SMJ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF064SMJ/@@download/ENCFF064SMJ.bed.gz
ENCFF751IVM	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF751IVM/@@download/ENCFF751IVM.bed.gz
ENCFF247ZAZ	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF247ZAZ/@@download/ENCFF247ZAZ.bed.gz
ENCFF214ZLL	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF214ZLL/@@download/ENCFF214ZLL.bed.gz
ENCFF200HLO	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF200HLO/@@download/ENCFF200HLO.bed.gz
ENCFF329GDP	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF329GDP/@@download/ENCFF329GDP.bed.gz
ENCFF766MRS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF766MRS/@@download/ENCFF766MRS.bed.gz
ENCFF419STH	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF419STH/@@download/ENCFF419STH.bed.gz
ENCFF894PDJ	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF894PDJ/@@download/ENCFF894PDJ.bed.gz
ENCFF819NTW	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF819NTW/@@download/ENCFF819NTW.bed.gz
ENCFF207RZS	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF207RZS/@@download/ENCFF207RZS.bed.gz
ENCFF671GMS	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF671GMS/@@download/ENCFF671GMS.bed.gz
